Round,Accuracy,Train_Loss,Epsilon,Noise_STD,Clipping_Threshold,Pre_Clip_Grad_Norm,Post_Clip_Grad_Norm,Clients_Sampled,Communication_MB
1,0.6042,0.8145,0.5,0.5,N/A,N/A,N/A,5,0
2,0.4792,0.6864,1.0,0.5,N/A,N/A,N/A,5,0
3,0.3958,2.0341,1.5,0.5,N/A,N/A,N/A,5,0
4,0.5417,0.813,2.0,0.5,N/A,N/A,N/A,5,0
5,0.4167,1.7374,2.5,0.5,N/A,N/A,N/A,5,0
