round,accuracy,epsilon
1,0.5546218487394958,1.1
2,0.6363636363636364,2.2
3,0.548,3.3000000000000003
4,0.625,4.4
5,0.6331360946745562,5.5
6,0.7549019607843137,6.6000000000000005
7,0.7727272727272727,7.700000000000001
8,0.5751295336787565,8.8
9,0.5035971223021583,9.9
10,0.5714285714285714,11.0
11,0.5348837209302325,12.100000000000001
12,0.6721311475409836,13.200000000000001
13,0.5977653631284916,14.3
14,0.4723926380368098,15.400000000000002
15,0.5720930232558139,16.5
16,0.5,17.6
17,0.5462555066079295,18.700000000000003
18,0.517948717948718,19.8
19,0.49411764705882355,20.900000000000002
20,0.62,22.0
21,0.7303370786516854,23.1
22,0.5911602209944752,24.200000000000003
23,0.5081967213114754,25.3
24,0.5301204819277109,26.400000000000002
25,0.5480225988700564,27.500000000000004
26,0.5255813953488372,28.6
27,0.49327354260089684,29.700000000000003
28,0.5766129032258065,30.800000000000004
29,0.5466666666666666,31.900000000000002
30,0.5211267605633803,33.0
31,0.6516129032258065,34.1
32,0.5769230769230769,35.2
33,0.6455696202531646,36.300000000000004
34,0.568904593639576,37.400000000000006
35,0.6187845303867403,38.5
36,0.5141242937853108,39.6
37,0.436241610738255,40.7
38,0.6551724137931034,41.800000000000004
39,0.5674157303370787,42.900000000000006
40,0.8253968253968254,44.0
41,0.4556213017751479,45.1
42,0.611336032388664,46.2
43,0.605,47.300000000000004
44,0.5930735930735931,48.400000000000006
45,0.4927536231884058,49.50000000000001
46,0.6506849315068494,50.6
47,0.5,51.7
48,0.5529411764705883,52.800000000000004
49,0.6626506024096386,53.900000000000006
50,0.5616438356164384,55.00000000000001
51,0.6772151898734177,56.1
52,0.7254237288135593,57.2
53,0.4915254237288136,58.300000000000004
54,0.5021834061135371,59.400000000000006
55,0.4166666666666667,60.50000000000001
56,0.7417582417582418,61.60000000000001
57,0.5359477124183006,62.7
58,0.6254681647940075,63.800000000000004
59,0.653179190751445,64.9
60,0.48520710059171596,66.0
61,0.5459183673469388,67.10000000000001
62,0.7005649717514124,68.2
63,0.5932203389830508,69.30000000000001
64,0.5815217391304348,70.4
65,0.48905109489051096,71.5
66,0.3988439306358382,72.60000000000001
67,0.5586206896551724,73.7
68,0.7285714285714285,74.80000000000001
69,0.390625,75.9
70,0.6413043478260869,77.0
71,0.5977011494252874,78.10000000000001
72,0.459214501510574,79.2
73,0.6329113924050633,80.30000000000001
74,0.6375838926174496,81.4
75,0.48660714285714285,82.5
76,0.5212765957446809,83.60000000000001
77,0.515625,84.7
78,0.4122137404580153,85.80000000000001
79,0.5941176470588235,86.9
80,0.592814371257485,88.0
81,0.6452991452991453,89.10000000000001
82,0.39490445859872614,90.2
83,0.5682819383259912,91.30000000000001
84,0.6276595744680851,92.4
85,0.5822222222222222,93.50000000000001
86,0.5159235668789809,94.60000000000001
87,0.48633879781420764,95.7
88,0.6143497757847534,96.80000000000001
89,0.3687150837988827,97.9
90,0.46825396825396826,99.00000000000001
91,0.5737704918032787,100.10000000000001
92,0.4888888888888889,101.2
93,0.5853658536585366,102.30000000000001
94,0.5256410256410257,103.4
95,0.575107296137339,104.50000000000001
96,0.3977272727272727,105.60000000000001
97,0.5217391304347826,106.7
98,0.3183023872679045,107.80000000000001
99,0.5149253731343284,108.9
100,0.6810344827586207,110.00000000000001
