Round,Accuracy,Train_Loss,Epsilon,Noise_STD,Clipping_Threshold,Pre_Clip_Grad_Norm,Post_Clip_Grad_Norm,Clients_Sampled,Communication_MB
1,0.0,1.1299,0.5,0.5,1.0,N/A,N/A,5,0
2,0.1667,0.9836,1.0,0.5,1.0,N/A,N/A,5,0
3,0.0,4.2863,1.5,0.5,1.0,N/A,N/A,5,0
4,0.0,4.7741,2.0,0.5,1.0,N/A,N/A,5,0
5,0.0,2.1023,2.5,0.5,1.0,N/A,N/A,5,0
